"","Card.Number","Date","flow","day"
"4918","3397009493",2017-09-20,"Gulf Host",4
"4919","3397009496",2017-09-19,"Crossover into Hotel / Leisure",3
"4920","3397009496",2017-09-20,"Yummex",4
"4921","3397009503",2017-09-19,"Yummex-Crossover into Hotel / Leisure-Yummex",3
"4922","3397009503",2017-09-20,"Yummex",4
"4923","3397009515",2017-09-19,"Crossover into Hotel / Leisure",3
"4924","3397009522",2017-09-19,"Gulf Host",3
"4925","3397009524",2017-09-19,"Gulf Host-Yummex",3
"4926","3397009526",2017-09-20,"Yummex",4
"4927","3397009533",2017-09-20,"Gulf Host",4
"4928","3397009534",2017-09-18,"Yummex-Gulf Host",2
"4929","3397009542",2017-09-19,"Crossover into Hotel / Leisure",3
"4930","3397009547",2017-09-19,"Yummex-Crossover into Hotel / Leisure",3
"4931","3397009547",2017-09-20,"Yummex-Gulf Host-Yummex",4
"4932","3397009561",2017-09-19,"Gulf Host",3
"4933","3397009577",2017-09-18,"Yummex",2
"4934","3397009585",2017-09-20,"Yummex",4
"4935","3397009587",2017-09-18,"Yummex",2
"4936","3397009604",2017-09-18,"Gulf Host",2
"4937","3397009604",2017-09-20,"Yummex-The Specialty Food Festival",4
"4938","3397009606",2017-09-19,"Gulf Host-Yummex",3
"4939","3397009606",2017-09-20,"Gulf Host",4
"4940","3397009607",2017-09-18,"Yummex",2
"4941","3397009610",2017-09-18,"Yummex",2
"4942","3397009615",2017-09-20,"Gulf Host",4
"4943","3397009617",2017-09-19,"Gulf Host",3
"4944","3397009618",2017-09-20,"Gulf Host",4
"4945","3397009620",2017-09-18,"Yummex",2
"4946","3397009628",2017-09-18,"Yummex",2
"4947","3397009628",2017-09-20,"Gulf Host-Yummex",4
"4948","3397009630",2017-09-18,"Yummex",2
"4949","3397009632",2017-09-19,"Yummex",3
"4950","3397009640",2017-09-18,"Yummex",2
"4951","3397009640",2017-09-19,"Gulf Host",3
"4952","3397009640",2017-09-20,"Gulf Host-Yummex",4
"4953","3397009644",2017-09-19,"Yummex",3
"4954","3397009645",2017-09-20,"Gulf Host",4
"4955","3397009651",2017-09-18,"Gulf Host",2
"4956","3397009651",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure",3
"4957","3397009655",2017-09-18,"Yummex",2
"4958","3397009658",2017-09-19,"Gulf Host",3
"4959","3397009664",2017-09-18,"Yummex-The Specialty Food Festival",2
"4960","3397009667",2017-09-19,"Gulf Host-Yummex",3
"4961","3397009667",2017-09-20,"Gulf Host",4
"4962","3397009669",2017-09-18,"Gulf Host-Yummex",2
"4963","3397009669",2017-09-19,"Yummex-Gulf Host-Crossover into Hotel / Leisure",3
